"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Cardiobacterium sp. Marseille-Q4385",5,232,"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium","sp. Marseille-Q4385"
"Cellvibrio japonicus",3,138,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","japonicus"
"Cellvibrio sp. KY-GH-1",3,245,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","sp. KY-GH-1"
"Cellvibrio sp. KY-YJ-3",4,429,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","sp. KY-YJ-3"
"Cellvibrio sp. PSBB006",6,276,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","sp. PSBB006"
"Cellvibrio sp. PSBB023",4,309,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","sp. PSBB023"
"Marinagarivorans sp. GE09",1,33,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans","sp. GE09"
"Simiduia agarivorans",6,244,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia","agarivorans"
"Teredinibacter purpureus",1,21,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter","purpureus"
"Teredinibacter turnerae",4,110,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter","turnerae"
"Aequoribacter fuscus",1,24,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Aequoribacter","fuscus"
"Congregibacter litoralis",6,499,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Congregibacter","litoralis"
"Halioglobus japonicus",6,288,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","japonicus"
"Halioglobus maricola",6,231,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","maricola"
"Kineobactrum salinum",6,565,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Kineobactrum","salinum"
"Microbulbifer agarilyticus",3,92,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","agarilyticus"
